policy,scenario,seed,n_steps,urllc_rtt_p50_ms,urllc_rtt_p95_ms,urllc_rtt_p99_ms,sla_violation_rate,embb_goodput_mbps,be_goodput_mbps,total_drops,guardrail_intervention_rate,decision_latency_mean_ms,decision_latency_p99_ms,mean_reward,link_util_mean
epsilon_greedy,sawtooth,5,270,2.0,5.184808853736078,5.43906296214861,0.0,3.50950735267153,3.378973340445378,27582,0.014814814814814815,0.058446296296157996,0.11999300000084645,0.38535924841590896,0.9108132587402148
epsilon_greedy_pretrained,ramp,1,270,2.699403271042387,4.165420651451739,4.241378873709425,0.0,3.383648359780467,3.3146568830774537,43085,0.0,0.061593703703707314,0.14309099999909594,0.3420600980259258,0.9193675371486717
linucb,sawtooth,4,270,2.0,5.262303500137944,7.059879633654839,0.011111111111111112,3.394544428189251,3.343829977042869,29261,0.0962962962962963,0.09266148148159699,0.1793910000020561,0.33897326688636975,0.8963823292084212
linucb_pretrained,burst,0,270,3.199812964841683,5.242464564593736,5.43836394961324,0.0,2.9179096395887445,3.5102429851700574,83386,0.0,0.09910407407405555,0.30655300000166374,0.20287567637437295,0.9420174963879276
linucb_pretrained,burst,1,270,3.4305419183570094,5.292530607707445,5.502100704046671,0.0,2.9221038569411197,3.546767979232646,83338,0.0,0.0946088888891299,0.25125500000029904,0.20273530597076533,0.9468767307290398
linucb_pretrained,burst,8,270,3.3900374171235756,5.285548173224297,5.438753744174013,0.0,2.9291732945754076,3.5551524113252313,81629,0.0,0.10065407407408965,0.26526900000035886,0.20820655925167122,0.9487736723832545
oracle,adversarial,5,270,2.8804765670306454,5.607905536166203,6.252564718138241,0.0,5.135567638048675,3.1029682462161206,98177,0.037037037037037035,0.030511111111079688,0.08093100000102989,0.3746934860895479,0.9981641939410942
static_equal,adversarial,2,270,2.0,5.499950929963289,5.793336957256266,0.0,3.3849284642418533,3.4045407524133253,124982,0.0,0.021237037037183028,0.042906000000400006,0.15228648335211636,0.8519889831534003
static_equal,adversarial,6,270,2.0,5.472685222609274,6.356060832514935,0.003703703703703704,3.3666029111856117,3.425563430408296,129108,0.014814814814814815,0.021494814814973152,0.04639800000148849,0.13328658966250984,0.853112232367318
static_equal,ramp,6,270,2.0,2.5568479512246762,2.612581235891087,0.0,2.9102075805381578,3.4526348881989626,50391,0.0,0.025756296296332512,0.06580599999800538,0.2826198046997846,0.8856917609829988
static_equal,ramp,8,270,2.0,2.529233744881328,2.6708765041996463,0.0,2.9086071627150614,3.44104255604617,51276,0.0,0.021170370370342563,0.03799199999953371,0.2801453262862245,0.884565897295728
static_equal,ramp,9,270,2.0,2.5657337085376937,2.670934269081877,0.0,2.8962440397424305,3.445011070706331,50471,0.0,0.02195592592592009,0.03473100000086047,0.2808169583176552,0.8846834316295782
static_equal,sawtooth,5,270,2.0,3.2721884465080233,3.458576182714489,0.0,3.0035323165906243,3.456941066153233,37212,0.0,0.02090296296292212,0.04112700000026942,0.32136813031032607,0.8680125277029097
static_equal,sawtooth,7,270,2.0,3.2857175290006158,3.5303175038839107,0.0,3.023779373695512,3.455896673679317,38237,0.0,0.022473703703801164,0.04617500000499319,0.32108372646881955,0.8700126156775567
static_safe,adversarial,3,270,2.0,3.0613629101489868,3.7314516459404516,0.0,2.0,3.421796696428811,159025,0.0,0.021560370370446093,0.05143599999984258,-0.05073498799602451,0.7160550926739383
static_safe,burst,0,270,2.0,2.0,2.0,0.0,1.9744037044479712,3.816396699943467,97767,0.0,0.020127407407402244,0.03706799999804382,0.09467227144310117,0.8782852322177693
static_safe,burst,4,270,2.0,2.0,2.0,0.0,1.9768760020090548,3.882871269858456,97684,0.0,0.02034814814819621,0.04596299999420234,0.09709818274110366,0.886557246981014
static_safe,burst,7,270,2.0,2.0,2.0,0.0,1.973553004551383,3.871545701748798,96697,0.0,0.020528518518503302,0.04491000000022894,0.09861944928538006,0.8842851505486948
static_safe,sawtooth,2,270,2.0,2.0,2.0,0.0,1.9944421024475172,3.5083679706896294,59978,0.0,0.020444814814768817,0.0409929999998404,0.17141080492099617,0.7730213969606
static_safe,sawtooth,5,270,2.0,2.0,2.0,0.0,1.9957478551360093,3.464883713991991,59709,0.0,0.020918518518416036,0.08371700000104454,0.17083463026669396,0.768028346341324
threshold,sawtooth,1,270,2.0,5.35411702178413,7.0944606285312,0.011111111111111112,3.5107869527632527,3.3936749093833303,31633,0.1037037037037037,0.040928518518512605,0.11287900000048977,0.34535032890366646,0.9126887267773771
