w_sla,w_drop,ranking,winner,margin_first_to_second
0.25,0.0,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.012530391657357975
0.25,0.5,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.012579066704954678
0.25,1.0,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.030878960538238104
0.5,0.0,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.022607581460935333
0.5,0.5,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.024982832619301787
0.5,1.0,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.03156282699312535
1.0,0.0,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.022319498282487804
1.0,0.5,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.021493480523814223
1.0,1.0,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.032680365306573644
2.0,0.0,linucb_pretrained > static_equal > linucb > threshold > static_safe,linucb_pretrained,0.03031127426765523
2.0,0.5,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.03171119698352315
2.0,1.0,linucb_pretrained > threshold > linucb > static_equal > static_safe,linucb_pretrained,0.030052161703162966
4.0,0.0,linucb_pretrained > static_equal > linucb > threshold > static_safe,linucb_pretrained,0.02447204113305257
4.0,0.5,linucb_pretrained > static_equal > linucb > threshold > static_safe,linucb_pretrained,0.04577724700764127
4.0,1.0,linucb_pretrained > linucb > threshold > static_equal > static_safe,linucb_pretrained,0.058056184567394004
